Order_ID,Order_Date,Ship_Date,Category,Product,Region,City,Segment,Ship_Mode,Quantity,Sales,Discount,Profit
ORD00001,2024-10-06,2024-10-07,Electronics,Laptop,East,Kolkata,Home Office,Same Day,4,3479.13,0.0,749.2
ORD00002,2024-11-28,2024-12-04,Electronics,Laptop,North,Delhi,Home Office,Same Day,4,10502.82,0.0,2019.16
ORD00003,2024-04-20,2024-04-27,Home,Lamp,East,Kolkata,Corporate,Standard,3,10653.21,0.1,911.64
ORD00004,2024-10-01,2024-10-02,Electronics,Monitor,North,Chandigarh,Corporate,Standard,6,18587.31,0.0,4199.73
ORD00005,2024-05-28,2024-05-29,Sports,Yoga Mat,East,Patna,Consumer,Standard,4,14327.78,0.0,3041.11
ORD00006,2024-05-16,2024-05-22,Books,Biography,West,Ahmedabad,Home Office,Standard,6,5884.44,0.1,423.1
ORD00007,2024-04-22,2024-04-28,Sports,Cricket Bat,South,Bengaluru,Corporate,Standard,8,16171.09,0.3,1093.69
ORD00008,2024-06-10,2024-06-12,Home,Mixer,East,Bhubaneswar,Home Office,Same Day,5,2588.53,0.2,401.93
ORD00009,2024-10-26,2024-10-30,Books,Comics,South,Chennai,Home Office,Same Day,3,4151.44,0.2,364.48
ORD00010,2024-03-19,2024-03-25,Fashion,Jeans,South,Hyderabad,Consumer,Same Day,8,5090.92,0.0,1284.03
ORD00011,2024-01-06,2024-01-12,Sports,Football,West,Pune,Home Office,Standard,8,21917.99,0.2,3334.95
ORD00012,2024-05-14,2024-05-19,Sports,Yoga Mat,East,Kolkata,Consumer,Standard,5,11434.37,0.15,64.59
ORD00013,2024-09-28,2024-09-29,Fashion,Watch,South,Bengaluru,Home Office,First Class,6,23160.31,0.2,3953.46
ORD00014,2024-02-10,2024-02-11,Books,Novel,North,Chandigarh,Home Office,Same Day,5,6746.86,0.05,1555.84
ORD00015,2024-11-06,2024-11-10,Electronics,Keyboard,South,Bengaluru,Consumer,Second Class,8,37958.99,0.05,4100.0
ORD00016,2024-01-11,2024-01-16,Fashion,Jacket,East,Bhubaneswar,Home Office,Second Class,8,6246.56,0.05,423.55
ORD00017,2024-02-06,2024-02-11,Sports,Cricket Bat,North,Delhi,Consumer,First Class,1,1298.92,0.0,327.23
ORD00018,2024-04-07,2024-04-08,Books,Textbook,South,Hyderabad,Consumer,Same Day,8,10931.09,0.15,1820.02
ORD00019,2024-07-25,2024-07-31,Fashion,Jacket,West,Pune,Corporate,Standard,1,3432.15,0.3,-172.69
ORD00020,2024-05-07,2024-05-14,Home,Vacuum,South,Hyderabad,Consumer,Same Day,8,6983.0,0.05,773.08
ORD00021,2024-09-05,2024-09-09,Sports,Football,North,Lucknow,Consumer,Same Day,1,4851.18,0.05,428.18
ORD00022,2024-12-22,2024-12-28,Electronics,Smartphone,West,Mumbai,Home Office,Same Day,7,10310.82,0.15,639.78
ORD00023,2024-06-09,2024-06-10,Home,Vacuum,East,Kolkata,Consumer,Same Day,1,2980.07,0.2,-23.27
ORD00024,2024-12-11,2024-12-18,Sports,Tennis Racket,South,Bengaluru,Consumer,Same Day,2,8572.89,0.0,1706.07
